,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
3112,22-01-0277-46,22-003,10,91,instituto tecnologico de computacion de oriente itco,"8va. calle 4-42 zona 1, barrio latino",['58248045'],remberto recinos sarceao,jonathan gabriel azmitia gonzalez,0,3,2,ABIERTA,1,5,1,JUTIAPA
3113,22-01-0282-46,22-003,10,91,colegio particular mixto genesis,"8a. avenida 7-33 zona 3, barrio el chaparron",['78446178'],remberto recinos sarceao,alba yesenia alarcon hernandez,0,3,2,ABIERTA,1,5,1,JUTIAPA
3114,22-01-0295-46,22-013,10,91,instituto nacional de educacian diversificada,"complejo educativo, barrio el condor.",['58436203'],rony esmeltzer ramos quiaonez,marta luisa bonilla garcaa,0,2,2,ABIERTA,1,2,1,JUTIAPA
3115,22-01-0298-46,22-005,10,91,instituto nacional de educacian diversificada,"aldea los anonos, canton valencia",['47704740'],edgar arnulfo gonzalez gudiel,fredy estuardo sica cuyuch,0,2,0,ABIERTA,1,5,1,JUTIAPA
3116,22-01-0300-46,22-037,10,91,colegio para trabajadores prof. carlos armando cambara garcaa,"entrada al complejo educativo, 0-16 zona 3",['58251449'],sandra ninneth bonilla archila,edgar arnulfo gonzalez gudiel,0,3,2,ABIERTA,1,0,3,JUTIAPA
3117,22-01-0302-46,22-001,10,91,instituto tacnico particular de diversificado -intecpadi-,5ta. calle 5-43 zona 1,['78442296'],cecilia isabel aldecoa casasola de castro,roni ernesto recinos estrada,0,3,2,ABIERTA,1,2,1,JUTIAPA
3118,22-01-0304-46,22-003,10,91,colegio nuevos horizontes,"caserao villa hermosa, cantan potrero grande",['33014043'],remberto recinos sarceao,estrellita noricelda ramarez cabrera,0,3,0,ABIERTA,1,5,1,JUTIAPA
3119,22-01-0305-46,22-013,10,91,instituto nacional de educacian diversificada,"complejo educativo, barrio el condor",['46863273'],rony esmeltzer ramos quiaonez,jessica iveth avila archila,0,2,2,ABIERTA,1,5,1,JUTIAPA
3120,22-01-0306-46,22-001,10,91,centro de estudios diversificados -ced- jutiapa,aldea las crucitas,['41589757'],cecilia isabel aldecoa casasola de castro,ana maraa sandoval moran,0,3,0,ABIERTA,1,2,1,JUTIAPA
3121,22-01-0310-46,22-003,10,91,liceo educativo innovador leisar,"7a. avenida 5-24, barrio el chaparron, zona 3,",['78441031'],remberto recinos sarceao,regnier antonio velasquez donis,0,3,2,ABIERTA,1,5,1,JUTIAPA
3122,22-01-0312-46,22-037,10,91,liceo educativo innovador leisar,"7a. avenida 5-24, barrio el chaparron, zona 3,",['78441031'],sandra ninneth bonilla archila,regnier antonio velasquez donis,0,3,2,ABIERTA,1,0,3,JUTIAPA
3123,22-01-0314-46,22-037,10,91,colegio el bosque,aldea el chiltepe,['41875134'],sandra ninneth bonilla archila,ingrid carol juarez dominguez,0,3,0,ABIERTA,1,0,3,JUTIAPA
3124,22-01-0320-46,22-001,10,91,instituto tecnico particular de diversificado -intecpadi-,5ta. calle 5-43 zona 1,['78442296'],cecilia isabel aldecoa casasola de castro,roni ernesto recinos estrada,0,3,2,ABIERTA,1,2,1,JUTIAPA
3125,22-01-0321-46,22-001,10,91,instituto tecnico particular de diversificado -intecpadi-,5ta. calle 5-43 zona 1,['78442296'],cecilia isabel aldecoa casasola de castro,roni ernesto recinos estrada,0,3,2,ABIERTA,1,0,1,JUTIAPA
3126,22-01-0328-46,22-001,10,91,colegio guatemala,callejon garcia granados 1-16 zona 1,['55581840'],cecilia isabel aldecoa casasola de castro,eba candelaria lamus ramos,0,3,2,ABIERTA,1,5,1,JUTIAPA
3127,22-01-0329-46,22-013,10,91,liceo oriental,"kilometro 116 carretera interamericana, aldea cerro gordo",['42198113'],rony esmeltzer ramos quiaonez,erika marina ordoaez,0,3,0,ABIERTA,1,5,1,JUTIAPA
3128,22-01-0334-46,22-003,10,91,escuela en ciencias de la comunicacian ecco ii,"6a. calle 11-29 zona 4 en residenciales san vicente, barrio el chaparron",['78440228'],remberto recinos sarceao,nancy paola martanez medrano,0,3,2,ABIERTA,1,2,1,JUTIAPA
